,x
968,1695.63
969,1697.15
970,1698.67
971,1700.19
972,1701.71
973,1703.23
974,1704.75
975,1706.26
976,1707.78
977,1709.3
978,1710.81
979,1712.33
980,1713.85
981,1715.36
982,1716.87
983,1718.39
984,1719.9
985,1721.41
986,1722.93
987,1724.44
988,1725.95
989,1727.46
990,1728.97
991,1730.48
992,1731.99
993,1733.5
994,1735.0
995,1736.51
996,1738.02
997,1739.53
998,1741.03
999,1742.54
1000,1744.04
1001,1745.55
1002,1747.05
1003,1748.56
1004,1750.06
1005,1751.56
1006,1753.06
1007,1754.57
1008,1756.07
1009,1757.57
1010,1759.07
1011,1760.57
1012,1762.07
1013,1763.56
1014,1765.06
1015,1766.56
1016,1768.06
1017,1769.55
1018,1771.05
1019,1772.55
1020,1774.04
1021,1775.54
1022,1777.03
1023,1778.52
